SK_ID_CURR,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_UPDATE_MEAN,NAME_INCOME_TYPE_cat_Working,BURO_CREDIT_ACTIVE_cat_Active_MEAN,BURO_CREDIT_ACTIVE_cat_Closed_MEAN,PREV_NAME_CONTRACT_STATUS_cat_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_cat_Refused_MEAN,PREV_CODE_REJECT_REASON_cat_HC_MEAN,PREV_CODE_REJECT_REASON_cat_SCOFR_MEAN,PREV_CODE_REJECT_REASON_cat_XAP_MEAN,PREV_NAME_PRODUCT_TYPE_cat_walk-in_MEAN
168767,0.0,-9585.0,-1010.0,0.3436585993011503,0.5352762504724826,-592.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,1,0.375,0.625,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
432815,1.0,-21013.0,-1544.0,0.7849932612062638,0.5352762504724826,-1836.0,-1836.0,-269.0,-1042.0,-1286.0,-473.08333333333337,0,0.375,0.625,1.0,0.0,0.0,0.0,1.0,0.0
188152,1.0,-17636.0,-4255.0,0.3600535455441202,0.7380196196295241,-367.0,-1620.0,-313.0,-1015.0,-524.0,-482.85714285714283,1,0.42857142857142855,0.5714285714285714,0.5,0.0,0.0,0.0,1.0,0.0
164304,1.0,-8622.0,-1627.0,0.0598773798562559,0.475849908720221,-42.0,-691.0,-484.0,-587.5,-211.0,-449.0,1,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0
355960,1.0,-21734.0,-1544.0,0.4171033623913911,0.5352762504724826,-1591.0,-1938.0,-376.0,-1035.6666666666667,-1573.0,-647.0,0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0
141153,1.0,-10514.0,-538.0,0.465914071950225,0.5814837058057234,-1020.0,-1788.0,-253.0,-788.2857142857143,-1666.0,-344.14285714285717,1,0.7142857142857143,0.2857142857142857,0.8,0.2,0.0,0.0,0.8,0.0
338715,1.0,-20081.0,-2904.0,0.6678312751840992,0.6430255641096323,-1676.0,-398.0,-398.0,-398.0,-275.0,-275.0,1,0.0,1.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.5555555555555556,0.0
419614,1.0,-8474.0,-1229.0,0.7087043469799418,0.2837118826350007,-990.0,-750.0,-207.0,-388.5,-330.0,-36.0,1,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0
328837,1.0,-20886.0,-456.0,0.5755295095679599,0.1604889306273446,-957.0,-2820.0,-356.0,-1739.5,-1519.0,-928.5,1,0.6666666666666666,0.3333333333333333,0.5,0.125,0.125,0.0,0.5,0.125
102116,1.0,-17231.0,-1344.0,0.7461966139749001,0.6577838002083306,-300.0,-2874.0,-478.0,-1673.25,-2143.0,-728.5,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
